,Price,MA 7,MA 20,MA 50,RSI 7,RSI 14,RSI 21,Gain,Loss,Average Gain (7),Average Loss (7),Average Gain (14),Average Loss (14),Average Gain (21),Average Loss (21)
0,135.3,,,,,,,,,,,,,,
1,141.96,,,,,,,6.66,0,,,,,,
2,135.3,,,,,,,0,6.66,,,,,,
3,117,,,,,,,0,18.3,,,,,,
4,103.43,,,,,,,0,13.57,,,,,,
5,91.01,,,,,,,0,12.42,,,,,,
6,111.25,119.3214286,,,,,,20.24,0,,,,,,
7,116.79,116.6771429,,,38.90154695,,,5.54,0,4.634285714,7.278571429,,,,
8,118.33,113.3014286,,,40.19017061,,,1.54,0,4.192244898,6.23877551,,,,
9,106.4,109.1728571,,,33.75574112,,,0,11.93,3.59335277,7.05180758,,,,
10,112.64,108.55,,,39.65159768,,,6.24,0,3.971445231,6.044406497,,,,
11,113,109.9171429,,,40.01096225,,,0.36,0,3.455524484,5.180919855,,,,
12,118.78,113.8842857,,,46.03083496,,,5.78,0,3.787592415,4.440788447,,,,
13,113.01,114.1357143,,,41.21406775,,,0,5.77,3.246507784,4.630675812,,,,
14,114.713,113.839,,,43.25859324,41.1805026,,1.703,0,3.026006672,3.969150696,3.433071429,4.903571429,,
15,117.18,113.6747143,,,46.40862758,42.48962661,,2.467,0,2.946148576,3.402129168,3.364066327,4.553316327,,
16,114.5,114.8318571,,,43.35794965,41.41135239,,0,2.68,2.525270208,3.298967858,3.123775875,4.419508017,,
17,114.156,115.0484286,,,42.93529801,41.26659084,,0,0.344,2.164517321,2.876829593,2.900649026,4.128400302,,
18,115.5,115.4055714,,,45.36296203,42.11793149,,1.344,0,2.047300561,2.465853937,2.78945981,3.833514566,,
19,123.1,116.0227143,116.66745,,57.33684717,46.81280854,,7.6,0,2.840543338,2.113589088,3.133069824,3.559692097,,
20,123.88,117.5755714,116.09645,,58.42773336,47.2853902,,0.78,0,2.546180004,1.81164779,2.964993408,3.305428376,,
21,120.501,118.4024286,115.0235,,51.74116785,45.40332052,44.53132506,0,3.379,2.182440003,2.035555249,2.753208164,3.310683492,2.869238095,3.573952381
22,122.58,119.1738571,114.3875,,55.4045927,46.80620112,44.85172004,2.079,0,2.16766286,1.744761642,2.705050438,3.0742061,2.835829751,3.48684806
23,122.9,120.3738571,114.6825,,56.00433223,47.03180669,45.14366754,0.32,0,1.903711023,1.495509979,2.534689693,2.85461995,2.791443145,3.392022437
24,123,121.6372857,115.661,,56.21899419,47.10730187,45.39981448,0.1,0,1.64603802,1.281865696,2.360783286,2.650718525,2.736900043,3.291538783
25,125.748,123.1012857,117.3979,,62.14110608,49.24801521,45.79332096,2.748,0,1.80346116,1.098742025,2.388441623,2.461381487,2.692450573,3.18711989
26,131.7,124.3298571,118.4204,,71.78519012,53.62594456,46.51074809,5.952,0,2.396109565,0.941778879,2.642981507,2.285568524,2.678339096,3.080198889
27,130.77,125.3141429,119.1194,,68.5996591,52.85869462,47.07040853,0,0.93,2.053808199,0.940096182,2.454197114,2.188742201,2.64859953,2.978289236
28,134.6,127.3282857,119.9329,,74.11798853,55.67153512,47.79853369,3.83,0,2.307549885,0.805796727,2.552468748,2.032403472,2.63235907,2.874837212
29,128.985,128.2432857,121.06215,,56.98807946,50.87847116,48.07925798,0,5.615,1.977899901,1.492825766,2.370149552,2.288303224,2.601194348,2.809027143
30,129.179,129.1402857,121.8891,,57.3850807,51.03532658,48.33051784,0.194,0,1.723057058,1.279564942,2.214710298,2.124852994,2.559378287,2.73619561
31,132.13,130.4445714,122.8456,,63.38299334,53.46931909,48.7445041,2.951,0,1.898477478,1.096769951,2.26730242,1.97307778,2.52790682,2.658127721
32,127.401,130.6807143,123.27665,,50.17895029,49.2447618,48.78799369,0,4.729,1.62726641,1.615659958,2.105352247,2.169929367,2.485019181,2.608486399
33,127.98,130.1492857,124.02515,,51.61863806,49.76806142,48.86535593,0.579,0,1.477514066,1.384851392,1.996327087,2.014934412,2.437042747,2.550218066
34,129.09,129.9092857,124.744,,54.55578232,50.8150239,49.01056842,1.11,0,1.425012056,1.187015479,1.933018009,1.871010526,2.388850809,2.485303657
35,121.3,128.0092857,124.95,,36.44195777,43.89970873,48.59278927,0,7.79,1.221438906,2.130298982,1.794945294,2.293795488,2.333259766,2.468398672
36,121.16,126.8914286,125.283,,36.19001869,43.78438614,48.23009221,0,0.14,1.046947633,1.845970556,1.666734916,2.139952953,2.272006808,2.438759238
37,121.309,125.7671429,125.64065,,36.73311309,43.95313738,47.93279844,0.149,0,0.9186694,1.582260477,1.558325279,1.987099171,2.207562169,2.397973583
38,121.714,124.2791429,125.95135,,38.39580784,44.44133453,47.71017839,0.405,0,0.845288057,1.356223266,1.475944902,1.845163516,2.142691973,2.348366425
39,119,123.079,125.74635,,31.85145201,41.81291957,47.31847552,0,2.714,0.72453262,1.550191371,1.370520266,1.907223265,2.075160576,2.310358089
40,110.09,120.5232857,125.05685,,19.2708992,34.58178024,46.32448321,0,8.91,0.62102796,2.601592603,1.272625961,2.407421603,2.005916165,2.324226399
41,108.401,117.5677143,124.45185,,17.7227909,33.40251359,45.36577812,0,1.689,0.53230968,2.471222231,1.181724107,2.356105774,1.935744428,2.331226201
42,99.7497,114.4891,123.310335,,11.97435225,28.11410157,43.93859307,0,8.6513,0.45626544,3.354090484,1.097315242,2.805762505,1.865293048,2.379934024
43,105.99,112.3219571,122.464835,,30.84928279,35.9868135,43.32757302,6.2403,0,1.282556092,2.874934701,1.464671296,2.605350897,1.837543669,2.403505484
44,108.9,110.5492429,121.759835,,38.07344313,39.32392224,43.09212729,2.91,0,1.515048079,2.464229743,1.567909061,2.419254404,1.822186736,2.406397116
45,108.4,108.6472429,120.892435,,37.29247079,38.94821449,42.86277025,0,0.5,1.298612639,2.183625494,1.455915557,2.282164804,1.797254636,2.395788943
46,102.769,106.3285286,119.445885,,29.37547078,34.90371157,42.27970024,0,5.631,1.113096548,2.676107567,1.351921588,2.521367318,1.764675679,2.409137449
47,98.399,104.6583857,117.827335,,24.63945369,32.11640276,41.49770433,0,4.37,0.954082755,2.9180922,1.25535576,2.65341251,1.726076016,2.43337339
48,99.99,103.4568143,116.096835,,29.46939202,34.17732879,41.00591002,1.591,0,1.045070933,2.501221886,1.279330349,2.463883045,1.693647203,2.436604271
49,100.42,103.5525714,114.668585,117.827694,30.86650373,34.75387648,40.63903553,0.43,0,0.957203657,2.143904473,1.218663896,2.287891399,1.658578463,2.422666185
50,102,102.9825714,113.309635,117.161694,36.27755166,36.93957343,40.4902026,1.58,0,1.046174563,1.837632406,1.244473617,2.124470584,1.629416372,2.394807434
51,106.55,102.6468571,112.030635,116.453494,49.54526039,42.87436247,40.82831574,4.55,0,1.546721054,1.575113491,1.480582645,1.972722686,1.6254785,2.355774389
52,107.9,102.5754286,111.055585,115.905494,52.93721665,44.54206703,41.24940194,1.35,0,1.518618046,1.350097278,1.471255313,1.831813922,1.620389907,2.307885002
53,110.91,103.7384286,110.202085,115.783694,59.94230679,48.17490145,41.91237305,3.01,0,1.731672611,1.157226238,1.581165648,1.700970071,1.625689083,2.253091728
54,109.015,105.255,109.198335,115.895394,54.03486196,46.12629787,42.32694448,0,1.895,1.484290809,1.26262249,1.468225244,1.714829351,1.618955832,2.205926526
55,107.25,106.2921429,108.495835,116.220194,48.80801643,44.23932456,42.54050839,0,1.765,1.272249265,1.334390706,1.363352013,1.718412969,1.602445996,2.16442482
56,108,107.375,107.837835,116.155194,51.1505645,45.26401187,42.80003388,0.75,0,1.197642227,1.143763462,1.319541154,1.595669186,1.583169626,2.115821899
57,102.443,107.4382857,106.894535,115.868254,36.65235523,39.47564112,42.57578099,0,5.557,1.026550481,1.774225824,1.225288215,1.878621387,1.556663952,2.099555419
58,103.691,107.0298571,105.993385,115.575474,41.03164727,41.29142318,42.5231777,1.248,0,1.058186126,1.520764992,1.226910485,1.744434145,1.532926913,2.07199397
59,103.39,106.3855714,105.212885,115.515274,40.24871507,40.9721526,42.45424112,0,0.301,0.90701668,1.346512851,1.139274022,1.641331706,1.503121664,2.03744725
60,99.66,104.7784286,104.691385,115.255674,31.54625346,37.13979866,42.08737756,0,3.73,0.777442868,1.687011015,1.057897306,1.790522298,1.46856553,2.02075981
61,93.3311,102.5378714,103.93789,114.862296,22.09102305,31.71860423,41.2588494,0,6.3289,0.666379601,2.350138013,0.982333213,2.114692134,1.4303662,2.036444487
